Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CVR,Chicago Rivet & Machine Co. Common Stock,$28.11,-1.145,-3.914%,27157971.00,United States,,8632,Technology,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$4.85,-0.02,-0.411%,57963664.00,United States,,38477,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.39,0.01,0.42%,247382691.00,United States,1998,1257948,,
DIT,AMCON Distributing Company Common Stock,$123.9999,8.9999,7.826%,68369701.00,United States,,194,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$27.86,1.55,5.891%,194314028.00,United States,,30506,Consumer Non-Durables,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$8.76,-0.12,-1.351%,181776990.00,United States,1988,18420,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.14,0.10,9.615%,824731007.00,Canada,,20417507,Basic Industries,Precious Metals
DPW,Ault Global Holdings Inc. Common Stock,$3.80,-0.01,-0.262%,187398756.00,United States,,5757836,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$3.75,0.29,8.382%,103762969.00,United States,,4320592,Consumer Durables,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.43,0.07,5.147%,29851063.00,China,,3167553,Finance,Finance: Consumer Services
DXR,Daxor Corporation Common Stock,$12.15,-0.82,-6.322%,49011606.00,United States,,4449,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.34,-0.02,-0.239%,505289025.00,United States,2003,153057,,
ECF,Ellsworth Growth and Income Fund Ltd.,$14.03,0.01,0.071%,185266950.00,United States,1986,26358,,
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.12,0.03,0.115%,,United States,,300,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.04,-0.05,-0.382%,938269519.00,United States,2002,174180,,
ELA,Envela Corporation Common Stock,$5.66,0.09,1.616%,152391996.00,United States,,47695,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$30.50,0.00,0.00%,385888867.00,Israel,,322,Public Utilities,Electric Utilities: Central
